pitch_therapist_6829-68769_1580-141083;nr; start; end; median; min; max; 5%quantile; 95%quantile
pitch_therapist_6829-68769_1580-141083;2;11.401419623986683;19.31336206032862;225.08315297031186;160.88203264980845;300.78883376279987;167.9775829768618;281.9602917253506
pitch_therapist_6829-68769_1580-141083;4;28.1278183462268;37.65762943071107;227.2365389127586;155.9339778544927;352.13643926738666;168.08571318775174;278.28417492654665
pitch_therapist_6829-68769_1580-141083;6;40.335246792940495;45.819473887828245;202.35341225530206;161.59094753567265;278.8945891651874;173.55274168185193;240.47407959865004
pitch_therapist_6829-68769_1580-141083;8;49.778932480544555;55.6824714181486;215.74834562103206;163.35648169396816;301.2258933287038;172.22582688569082;252.97735606575506
pitch_therapist_6829-68769_1580-141083;10;62.33619758436894;65.98076838817431;207.36687266239636;178.80893897467791;397.58470247787994;179.7889377012005;324.6193938513621
pitch_therapist_6829-68769_1580-141083;12;71.94808719506567;73.96689625887899;238.10136818334166;149.5538384940562;399.38551183008843;156.99234999939173;362.7244369869959
pitch_therapist_6829-68769_1580-141083;14;80.89520510311982;91.07234390447786;229.1321649270675;165.3428076411522;392.39256859691164;180.13271844680537;301.6158006989043
pitch_therapist_6829-68769_1580-141083;16;94.375589265599;98.36580986381168;232.81860311014412;173.47911466264756;338.93495704365347;179.0253009916425;318.32061157797756
pitch_therapist_6829-68769_1580-141083;18;102.54311939588726;106.4592755067777;240.97566020507256;180.087220176446;375.0867961063612;181.22092663754114;325.29642978562873
pitch_therapist_6829-68769_1580-141083;20;110.06799576460605;116.33075474659674;239.74626801493926;155.46394347418797;388.15341326430354;180.01978297150882;302.8982412747522
pitch_therapist_6829-68769_1580-141083;22;119.13207708658555;124.13350837140932;236.114821454342;187.64719757169772;350.3125107315748;200.3237432335094;313.05550969530157
pitch_therapist_6829-68769_1580-141083;24;128.42397356321587;130.53542877705306;210.25794566701214;184.12839974734962;323.7228375249465;187.25852793377763;290.2181229067094
pitch_therapist_6829-68769_1580-141083;26;134.24471615757201;140.85013395396516;214.17002342349483;183.34392840940714;385.314059633605;185.18593596639198;338.5959145581851
pitch_therapist_6829-68769_1580-141083;28;142.9167352900769;146.46175746488777;258.5380531710675;183.87374101713976;310.89160133273975;189.31452321358466;286.15023265719753
pitch_therapist_6829-68769_1580-141083;30;149.47783211094807;151.64870861679046;240.95744850856252;211.14163155482763;345.28802299808194;218.62319100088718;321.95571099252476
pitch_therapist_6829-68769_1580-141083;32;157.705932490128;160.62199083658547;246.0230906563159;203.08342160169457;347.56710503347347;212.87409845409763;282.6167154516482
