"ID";"segment";"start";"end";"med_pit";"P5_pit";"P95_pit";"class";"N_syllables";"dur";"speed"
215014103;60;251.35;251.77;NA;NA;NA;"noise";NA;0.420000000000016;NA
215014103;66;272.07;272.66;NA;NA;NA;"noise";NA;0.590000000000032;NA
215014103;104;407.76;407.94;NA;NA;NA;"noise";NA;0.180000000000007;NA
215014103;111;427.16;427.46;NA;NA;NA;"noise";NA;0.299999999999955;NA
215014103;114;433.95;434.32;NA;NA;NA;"noise";NA;0.370000000000005;NA
215014103;1;0;11.4;192;164.48;236.97;"patient";NA;11.4;NA
215014103;3;19.31;28.13;186.17;163.83;228.67;"patient";37;8.82;4.19501133786848
215014103;5;37.66;40.34;179.69;161.05;232.23;"patient";13;2.68000000000001;4.8507462686567
215014103;7;45.82;49.78;196.83;158.96;238.58;"patient";20;3.96;5.05050505050505
215014103;9;55.68;62.34;190.96;162.58;230.64;"patient";33;6.66;4.95495495495495
215014103;11;65.98;71.95;222.85;170.83;270.12;"patient";25;5.97;4.18760469011725
215014103;13;73.97;80.9;199.26;171.15;235.68;"patient";32;6.93000000000001;4.61760461760461
215014103;15;91.07;94.38;199.49;166.75;221.7;"patient";18;3.31;5.43806646525679
215014103;17;98.37;102.54;187.24;162.93;221.59;"patient";18;4.17;4.31654676258993
215014103;19;106.46;110.07;194.16;169.07;258.33;"patient";21;3.61;5.81717451523546
215014103;21;116.33;119.13;192.19;173.69;248.24;"patient";11;2.8;3.92857142857143
215014103;23;124.13;128.42;189.06;165.75;205.37;"patient";23;4.28999999999999;5.36130536130537
215014103;25;130.54;134.24;177.83;159.41;251.14;"patient";18;3.70000000000002;4.86486486486484
215014103;27;140.85;142.92;181.33;163.66;198.78;"patient";10;2.06999999999999;4.83091787439615
215014103;29;146.46;149.48;186.48;162.88;220.08;"patient";14;3.01999999999998;4.635761589404
215014103;31;151.65;157.71;201.89;154.62;225.1;"patient";32;6.06;5.28052805280528
215014103;33;160.62;161.84;299.37;206.04;389.6;"patient";6;1.22;4.91803278688525
215014103;35;164.93;166.56;224.25;192.48;311.75;"patient";11;1.63;6.74846625766873
215014103;37;167.6;168.67;210.99;186.68;356.24;"patient";5;1.06999999999999;4.67289719626171
215014103;39;172.04;173.33;292.07;196.32;319.75;"patient";5;1.29000000000002;3.875968992248
215014103;41;179.83;181.96;279.1;241.78;329.18;"patient";10;2.13;4.69483568075118
215014103;43;184.42;186.47;227.06;206.44;287.72;"patient";10;2.05000000000001;4.87804878048778
215014103;45;190.93;195.43;222.61;179.95;330.5;"patient";21;4.5;4.66666666666667
215014103;47;202.68;205.72;199.17;162.56;315.5;"patient";14;3.03999999999999;4.60526315789475
215014103;49;209.58;212;244.09;231.59;291.81;"patient";10;2.41999999999999;4.1322314049587
215014103;51;216.62;219.45;185.51;150.19;282.44;"patient";13;2.82999999999998;4.59363957597176
215014103;53;223.84;227.78;297.63;181.3;356.99;"patient";15;3.94;3.80710659898477
215014103;55;233.09;236.63;220.45;193.38;335.9;"patient";18;3.53999999999999;5.08474576271188
215014103;57;240.98;244.88;253.81;182.96;366.74;"patient";20;3.90000000000001;5.12820512820512
215014103;59;247.2;251.35;253.97;177.1;340.38;"patient";27;4.15000000000001;6.50602409638553
215014103;62;254.54;256.61;240.79;193.24;301.57;"patient";9;2.07000000000002;4.34782608695648
215014103;64;258.3;267.97;222.61;182.18;315.55;"patient";44;9.67000000000002;4.5501551189245
215014103;67;272.66;275.3;209.95;166.98;339.57;"patient";15;2.63999999999999;5.68181818181821
215014103;69;280.56;286.17;213.69;166.24;299.43;"patient";23;5.61000000000001;4.09982174688056
215014103;71;291.61;295.01;277.01;208.98;324.44;"patient";16;3.39999999999998;4.70588235294121
215014103;73;298.48;305.58;231.86;171.62;308.71;"patient";34;7.09999999999997;4.78873239436622
215014103;75;311.28;317.87;204.78;182.31;292.89;"patient";35;6.59000000000003;5.3110773899848
215014103;77;320.29;325;220.59;169.9;292.52;"patient";16;4.70999999999998;3.39702760084927
215014103;79;329.57;333.27;190.84;160.89;311.86;"patient";16;3.69999999999999;4.32432432432434
215014103;81;335.17;340.3;237.13;173.69;352.83;"patient";28;5.13;5.45808966861599
215014103;83;342.25;349.27;230.52;194.09;289.16;"patient";32;7.01999999999998;4.55840455840457
215014103;85;352.61;355.85;239.19;208.65;272.68;"patient";13;3.24000000000001;4.01234567901233
215014103;87;360.43;363.42;225.01;168.51;334.24;"patient";15;2.99000000000001;5.01672240802674
215014103;89;365.29;367.94;224.77;192.16;342.11;"patient";14;2.64999999999998;5.28301886792457
215014103;91;369.57;374.61;246.59;198.59;288.44;"patient";23;5.04000000000002;4.56349206349204
215014103;93;376.6;378.55;216.12;205.15;288.84;"patient";10;1.94999999999999;5.12820512820516
215014103;95;381;385.66;250.11;184.65;315.22;"patient";21;4.66000000000003;4.50643776824032
